315385 h 1
5555 g 1
1856 n 1
900 daniel 3
900 daniel 3
868 s 4
400 dd 1
355 f 1
351 y 1
351 o 1
351 e 1
351 d 1
321 q 3
321 c 1
315 x 2
312 p 2
225 k 1
222 l 1
200 john 2
200 a 2
198 r 3
180 steve 2
180 steve 2
120 john 1
120 john 1
100 b 1
68 t 5
33 m 1
25 v 6
22 i 1
11 z 1
8 s 1
8 d 1
6 g 1
5 w 2
5 steve 2
5 d 1
4 d 1
3 u 2
2 adambuynakcoolio 1
1 j 1
1 TomWDavis 0
0 thedestroyerfromthewest 0
0 steveharvey1234 0
0 lkasdfl 0
0 kingoftheworld 0
0 john 0
0 jjsdf 0
0 house 0
0 buynak.9 0
0 asdf 0
0 adamrocks.9240 0
0 adambuynak.9 0
0 adambuynak.9 0
0 adamadm 0
0 adam 0
0 Brutus 0
0 Brutus 0
0 Brutus 0
0 Brutus 0
